chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classes_BC
~ root ~,module-info.java,40,3,0.075,1,0.075
~ root ~,DomainOrder.java,2,48,24.0,5,4.8
~ root ~,ChartElementVisitor.java,4,43,10.75,4,2.6875
~ root ~,KeyedValues2DItemKey.java,7,144,20.571428,9,2.2857141
~ root ~,Value.java,4,48,12.0,4,3.0
~ root ~,ChartUtils.java,235,395,1.6808511,52,0.03232406
~ root ~,Values.java,5,54,10.8,7,1.5428572
~ root ~,ChartColor.java,4,172,43.0,4,10.75
~ root ~,ChartRenderingInfo.java,13,235,18.076923,17,1.0633484
~ root ~,KeyedValueComparatorType.java,2,52,26.0,4,6.5
~ root ~,KeyToGroupMap.java,9,295,32.77778,34,0.9640523
~ root ~,KeyedValue.java,4,46,11.5,4,2.875
~ root ~,package-info.java,1,3,3.0,1,3.0
~ root ~,ChartElement.java,4,44,11.0,4,2.75
~ root ~,DefaultKeyedValues2D.java,10,541,54.1,49,1.1040816
~ root ~,ChartTransferable.java,10,241,24.1,20,1.205
~ root ~,KeyedValueComparator.java,6,155,25.833334,23,1.1231884
~ root ~,KeyedObjects2D.java,8,487,60.875,44,1.3835227
~ root ~,StandardChartTheme.java,64,1727,26.984375,106,0.2545696
~ root ~,Values2D.java,6,63,10.5,5,2.1
~ root ~,DataUtils.java,126,122,0.96825397,22,0.044011544
~ root ~,DefaultKeyedValue.java,7,153,21.857143,8,2.732143
~ root ~,KeyedValues2D.java,12,91,7.5833335,10,0.7583333
~ root ~,ComparableObjectSeries.java,13,440,33.846153,56,0.60439557
~ root ~,RangeInfo.java,6,64,10.666667,5,2.1333334
~ root ~,KeyedObjects.java,7,329,47.0,33,1.4242424
~ root ~,ItemKey.java,4,43,10.75,4,2.6875
~ root ~,ComparableObjectItem.java,6,158,26.333334,10,2.6333334
~ root ~,Drawable.java,6,37,6.1666665,4,1.5416666
~ root ~,KeyedValuesItemKey.java,6,107,17.833334,7,2.547619
~ root ~,RangeType.java,2,54,27.0,4,6.75
~ root ~,JFreeChart.java,60,1577,26.283333,130,0.20217948
~ root ~,KeyedValues.java,8,81,10.125,10,1.0125
~ root ~,DomainInfo.java,6,68,11.333333,7,1.6190475
~ root ~,ChartTheme.java,4,47,11.75,4,2.9375
~ root ~,Range.java,4,446,111.5,55,2.0272727
~ root ~,ChartHints.java,25,68,2.72,5,0.544
~ root ~,UnknownKeyException.java,6,47,7.8333335,4,1.9583334
