chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classes_BC
~ root ~,module-info.java,40,3,0.075,1,0.075
org/jfree/data/,KeyedValues2D.java,12,91,7.5833335,10,0.7583333
org/jfree/chart/,ChartElement.java,4,44,11.0,4,2.75
org/jfree/data/,KeyToGroupMap.java,9,295,32.77778,34,0.9640523
org/jfree/data/,DomainOrder.java,2,48,24.0,5,4.8
org/jfree/chart/,JFreeChart.java,60,1577,26.283333,130,0.20217948
org/jfree/data/,KeyedValues.java,8,81,10.125,10,1.0125
org/jfree/chart/,ChartTransferable.java,10,241,24.1,20,1.205
org/jfree/chart/,StandardChartTheme.java,64,1727,26.984375,106,0.2545696
org/jfree/data/,DomainInfo.java,6,68,11.333333,7,1.6190475
org/jfree/data/,ItemKey.java,4,43,10.75,4,2.6875
org/jfree/data/,DefaultKeyedValue.java,7,153,21.857143,8,2.732143
org/jfree/chart/,ChartTheme.java,4,47,11.75,4,2.9375
org/jfree/chart/,ChartHints.java,25,68,2.72,5,0.544
org/jfree/data/,RangeType.java,2,54,27.0,4,6.75
org/jfree/chart/,ChartRenderingInfo.java,13,235,18.076923,17,1.0633484
org/jfree/data/,ComparableObjectSeries.java,13,440,33.846153,56,0.60439557
org/jfree/data/,KeyedValues2DItemKey.java,7,144,20.571428,9,2.2857141
org/jfree/chart/,ChartElementVisitor.java,4,43,10.75,4,2.6875
org/jfree/data/,KeyedObjects2D.java,8,487,60.875,44,1.3835227
org/jfree/data/,Values2D.java,6,63,10.5,5,2.1
org/jfree/data/,KeyedObjects.java,7,329,47.0,33,1.4242424
org/jfree/data/,DefaultKeyedValues.java,13,435,33.46154,37,0.90436596
org/jfree/data/,KeyedValueComparatorType.java,2,52,26.0,4,6.5
org/jfree/data/,KeyedObject.java,6,143,23.833334,12,1.9861112
org/jfree/data/,KeyedValuesItemKey.java,6,107,17.833334,7,2.547619
org/jfree/data/,UnknownKeyException.java,6,47,7.8333335,4,1.9583334
org/jfree/data/,KeyedValueComparator.java,6,155,25.833334,23,1.1231884
org/jfree/chart/,ChartFactory.java,87,1955,22.471264,148,0.15183286
org/jfree/data/,Values.java,5,54,10.8,7,1.5428572
org/jfree/data/,DataUtils.java,126,122,0.96825397,22,0.044011544
org/jfree/chart/,Drawable.java,6,37,6.1666665,4,1.5416666
org/jfree/data/,RangeInfo.java,6,64,10.666667,5,2.1333334
org/jfree/data/,Value.java,4,48,12.0,4,3.0
org/jfree/chart/,ChartColor.java,4,172,43.0,4,10.75
org/jfree/data/,KeyedValue.java,4,46,11.5,4,2.875
org/jfree/chart/,ChartUtils.java,235,395,1.6808511,52,0.03232406
org/jfree/data/,ComparableObjectItem.java,6,158,26.333334,10,2.6333334
org/jfree/data/,DefaultKeyedValues2D.java,10,541,54.1,49,1.1040816
org/jfree/data/,Range.java,4,446,111.5,55,2.0272727
org/jfree/chart/,package-info.java,1,3,3.0,1,3.0
org/jfree/data/general/,Series.java,6,232,38.666668,29,1.3333334
org/jfree/data/general/,SeriesException.java,3,57,19.0,5,3.8
org/jfree/data/general/,DefaultKeyedValueDataset.java,7,186,26.571428,17,1.5630252
org/jfree/data/statistics/,DefaultBoxAndWhiskerXYDataset.java,12,548,45.666668,47,0.9716312
org/jfree/data/xy/,MatrixSeriesCollection.java,11,297,27.0,27,1.0
org/jfree/data/io/,CSV.java,8,188,23.5,16,1.46875
org/jfree/data/xy/,OHLCDataset.java,13,136,10.461538,9,1.1623931
org/jfree/data/statistics/,Regression.java,223,107,0.47982064,15,0.031988043
org/jfree/data/xml/,CategorySeriesHandler.java,7,141,20.142857,8,2.517857
org/jfree/data/xy/,XYSeriesCollection.java,27,724,26.814816,72,0.372428
org/jfree/data/category/,SlidingCategoryDataset.java,10,361,36.1,29,1.2448275
org/jfree/data/flow/,FlowDataset.java,14,109,7.785714,12,0.6488095
org/jfree/data/statistics/,SimpleHistogramBin.java,5,272,54.4,27,2.0148149
org/jfree/data/xy/,AbstractXYZDataset.java,13,47,3.6153846,5,0.72307694
org/jfree/data/xy/,DefaultTableXYDataset.java,18,610,33.88889,41,0.8265583
org/jfree/data/statistics/,BoxAndWhiskerCategoryDataset.java,24,194,8.083333,4,2.0208333
org/jfree/data/general/,KeyedValuesDataset.java,4,39,9.75,4,2.4375
org/jfree/data/xml/,DatasetTags.java,2,61,30.5,5,6.1
org/jfree/data/general/,ValueDataset.java,4,43,10.75,4,2.6875
org/jfree/data/time/,Quarter.java,9,476,52.88889,35,1.5111111
org/jfree/data/general/,DatasetUtils.java,1459,872,0.59766966,292,0.002046814
org/jfree/data/xy/,XisSymbolic.java,6,66,11.0,6,1.8333334
org/jfree/data/category/,IntervalCategoryDataset.java,8,79,9.875,4,2.46875
org/jfree/data/xy/,XYIntervalSeriesCollection.java,12,368,30.666666,14,2.1904762
org/jfree/data/xy/,XYIntervalSeries.java,49,140,2.857143,17,0.16806723
org/jfree/data/statistics/,MultiValueCategoryDataset.java,8,58,7.25,8,0.90625
org/jfree/data/statistics/,HistogramDataset.java,15,478,31.866667,42,0.7587302
org/jfree/data/xy/,AbstractIntervalXYDataset.java,41,75,1.8292683,8,0.22865854
org/jfree/data/general/,KeyedValues2DDataset.java,4,43,10.75,4,2.6875
org/jfree/data/time/,FixedMillisecond.java,6,281,46.833332,19,2.4649122
org/jfree/data/time/,MovingAverage.java,165,131,0.7939394,33,0.02405877
org/jfree/data/statistics/,Statistics.java,234,186,0.7948718,42,0.01892552
org/jfree/data/function/,PolynomialFunction2D.java,6,118,19.666666,6,3.2777777
org/jfree/data/gantt/,XYTaskDataset.java,13,467,35.923077,30,1.1974359
org/jfree/data/xy/,XYBarDataset.java,7,372,53.142857,21,2.5306122
org/jfree/data/time/,Month.java,9,521,57.88889,52,1.1132479
org/jfree/data/xy/,XYDataset.java,11,97,8.818182,6,1.469697
org/jfree/data/xy/,XYZDataset.java,5,55,11.0,5,2.2
org/jfree/data/general/,DefaultHeatMapDataset.java,6,325,54.166668,27,2.006173
